code,lat,lng,category,objet,nom,adresse,codepostal,ville,commentaire,horaire,telephone,fax,courriel,siteinternet,src,modesCollecte,string_horaires,quartier,type
stco_reemploi40,-2.185721,47.304255,Décheterie,Dechets,MÉAN PENHOËT SAINT-NAZAIRE,Rue de la petite pâture,44600,SAINT-NAZAIRE,"Déchets acceptés: Végétaux, Gravats, tout venant, cartons, ferrailles, huile minérale, huile végétale (en bidon), batterie, emballages légers, verres, journaux revues magazines, lampes/tubes. Déchets dangereux des ménages acceptés : Piles, déchets toxiques. ", Été (Du 1er avril au 30 septembre) : Lundi au Vendredi de 10h à 12h15 et de 14h30 à 19h. Samedi de 9h à 12h15 et de 14h30 à 19h. Hiver (du 1er octobre au 31 mars) : Lundi au Samedi de 9h à 12h15 et de 14h30 à 18h. Fermeture les jours fériés.,02 40 90 45 19,,,<a href='http://www.agglo-carene.fr/26572369/0/fiche___pagelibre/&RH=DECHETS' target='_blank' >www.agglo-carene.fr</a>,deuxiemeVie,modco_decheterie, Été (Du 1er avril au 30 septembre) : Lundi au Vendredi de 10h à 12h15 et de 14h30 à 19h. Samedi de 9h à 12h15 et de 14h30 à 19h. Hiver (du 1er octobre au 31 mars) : Lundi au Samedi de 9h à 12h15 et de 14h30 à 18h. Fermeture les jours fériés.,SAINT-NAZAIRE,modco_decheterie
stco_reemploi41,-1.815695,47.109553,Récupération,Electromenager,ATELIER DU RETZ EMPLOI (SAINTE-PAZANNE),28 rue de Bel Air,44640,SAINTE-PAZANNE,"Collecte, revente à petit prix de ce qui est récupérable, tri en vue de recyclage : vaisselle, jouets, livres, disques, électroménager en état de fonctionnement, outils, vêtements, chaussures, bibelots, meubles...","le MERCREDI de 9 h à 17 h 30, le SAMEDI de 9 h à 17 h 30",06 71 65 87 20,,atelierduretzemploi@orange.fr,<a href='http://latelierduretzemploi.free.fr' target='_blank' >http://latelierduretzemploi.free.fr/</a>,deuxiemeVie,"smco_reempelectromenag,smco_reempmeuble,smco_reemplivreCD,smco_reempjouet,smco_reempvet,smco_reempdivers","le MERCREDI de 9 h à 17 h 30, le SAMEDI de 9 h à 17 h 30",SAINTE-PAZANNE,modco_reemploi
stco_reemploi42,-1.5468354,47.2119882,Récupération,Vetement,DING-FRING Fourré,32 rue Fourré,44200,NANTES,Boutique du Relais,Du lundi au vendredi de 10h à 19h00 et le samedi de 10h à 18h30,02 40 75 46 91,,,<a href='http://www.lerelais.org/-Nos-boutiques-Ding-Fring-.html' target='_blank' >www.lerelais.org/-Nos-boutiques-Ding-Fring-.html</a>,deuxiemeVie,smco_reempvet,Du lundi au vendredi de 10h à 19h00 et le samedi de 10h à 18h30,NANTES,modco_reemploi
stco_reemploi43,-1.237721,47.491830,Récupération,Meuble,TroCantons,85 rue des cèdres,44440,PANNECE,"3 boutiques du réemploi sur le Pays d'Ancenis Au CELLIER, à PANNECE, à BELLIGNE.",Boutiques PANNECE - jeudi 14h/17h30 et samedi 9h30/12h30 Boutique BELLIGNE - Lundi 9h/12h et samedi 9h/12h Boutique LE CELLIER - Vendredi 14h/17h et samedi 9h/12h horaires dépots: du mardi au samedi de 9h30 à 12h30 et le jeudi de 14h à 17h30 Possibilité de collecte à domicile,02 40 97 78 55,02 28 21 95 54,contact@trocantons.org,<a href='http://www.trocantons.org' target='_blank' >http://www.trocantons.org/</a>,deuxiemeVie,"smco_reempmeuble,smco_reempinfo,smco_reemplivreCD,smco_reempjouet,smco_reempvet,smco_reempdivers,smco_reempelectromenag",Boutiques PANNECE - jeudi 14h/17h30 et samedi 9h30/12h30 Boutique BELLIGNE - Lundi 9h/12h et samedi 9h/12h Boutique LE CELLIER - Vendredi 14h/17h et samedi 9h/12h horaires dépots: du mardi au samedi de 9h30 à 12h30 et le jeudi de 14h à 17h30 Possibilité de collecte à domicile,PANNECE,modco_reemploi
stco_reemploi44,-1.443844,47.287963,Décheterie,Dechets,CARQUEFOU,Lieu-dit L'Ebaupin (accès RD 209),44470,CARQUEFOU,"Déchets admis : déblais et gravats issus du bricolage familial, papiers, cartons, encombrants ménagers divers, Déchets d'équipements Electriques et Electroniques, batteries, verre, huiles de moteur, bouteilles et flacons plastique, bois, ferrailles, déchets verts issus des ménages.","Ouvert tous les jours de 10h à  18h, dimanche compris (sauf jours fériés)",02 40 93 76 71,,,<a href='http://www.nantesmetropole.fr/pratique/dechets/les-decheteries-et-ecopoints-23191.kjsp?RH=faq_trisac' target='_blank' >www.nantesmetropole.fr</a>,deuxiemeVie,modco_decheterie,"Ouvert tous les jours de 10h à  18h, dimanche compris (sauf jours fériés)",CARQUEFOU,modco_decheterie
stco_reemploi45,-1.460903,47.178060,Décheterie,Dechets,VERTOU,La Foresterie,44120,VERTOU,"Déchets admis : Déblais et gravats issus du bricolage familial, papiers, cartons, encombrants ménagers divers, Déchets d'équipements Electriques et Electroniques, batteries, verre, huiles de moteur, bouteilles et flacons plastique, bois, ferrailles, déchets verts issus des ménages.","Ouvert tous les jours de 10h à  18h, dimanche compris (sauf jours fériés)",02 40 34 43 74,,,<a href='http://www.nantesmetropole.fr/pratique/dechets/les-decheteries-et-ecopoints-23191.kjsp?RH=faq_trisac' target='_blank' >www.nantesmetropole.fr</a>,deuxiemeVie,modco_decheterie,"Ouvert tous les jours de 10h à  18h, dimanche compris (sauf jours fériés)",VERTOU,modco_decheterie
stco_reemploi46,-1.564511,47.222541,Ecopoint,Dechets,VIARME,"Quartier Viarme Talensac, Rue du Bourget",44000,VIARME,"Déchets admis : Papiers, cartons, encombrants ménagers divers, Déchets d'équipements Electriques et Electroniques (D.E.E.E.), batteries, verre, huiles de moteur, bouteilles et flacons plastique, bois, ferrailles, déchets verts issus des ménages, Déchets Dangereux des Ménages : produits toxiques, dangereux ou instables (peinture, vernis, colle, diluants...), piles, bouteilles de gaz, les cuves ou jardinières, pneus.",Ouvert du Lundi au Samedi de 10h à  18h et Dimanche de 8h30 à  12h (sauf jours fériés),02 51 82 31 47,,,<a href='http://www.nantesmetropole.fr/pratique/dechets/les-decheteries-et-ecopoints-23191.kjsp?RH=faq_trisac' target='_blank' >www.nantesmetropole.fr</a>,deuxiemeVie,modco_decheterie,Ouvert du Lundi au Samedi de 10h à  18h et Dimanche de 8h30 à  12h (sauf jours fériés),VIARME,modco_ecopoint
stco_reemploi47,-1.561791,47.200229,Récupération,Autres,LES MARCHANDS DE SABLE,18 quai du président Wilson,44200,NANTES,Scénographie Architecture Bâti Lieux Expérimentaux. Notre travail trouve son application dans la création d'installation urbaines et constructions temporaires à base d'objets récupérés.,,06 81 67 42 06,,lesmarchandsdesable@gmail.com,<a href='http://lesmarchandsdesable.free.fr/spip' target='_blank' >http://lesmarchandsdesable.free.fr/spip</a>,deuxiemeVie,smco_reempdivers,,NANTES,modco_reemploi
stco_reemploi48,-1.53276,47.23558,Récupération,Vetement,LA CROIX ROUGE / Vestiboutique,51 bis rue de la Moisdonnière,44300,NANTES,"Récupération et distribution de vêtements, livres, jouets, vaisselle, bibelots",Mardi et jeudi de 9h30 à 12h00 et de 14h00 à 17h00,02 51 89 47 62,,dl.nantes@croix-rouge.fr,<a href='http://www.croix-rouge.fr' target='_blank' >www.croix-rouge.fr</a>,deuxiemeVie,"smco_reempvet,smco_reemplivreCD,smco_reempjouet,smco_reempdivers",Mardi et jeudi de 9h30 à 12h00 et de 14h00 à 17h00,NANTES,modco_reemploi
stco_reemploi49,-1.683226,47.177112,Décheterie,Dechets,LA MONTAGNE,Chemin du Pérou,44620,LA MONTAGNE,"Déchets admis : déblais et gravats issus du bricolage familial, papiers, cartons, encombrants ménagers divers, Déchets d'équipements Electriques et Electroniques, batteries, verre, huiles de moteur, bouteilles et flacons plastique, bois, ferrailles, déchets verts issus des ménages.","Ouvert tous les jours de 10h à  18h, dimanche compris (sauf jours fériés)",02 40 32 94 23,,,<a href='http://www.nantesmetropole.fr/pratique/dechets/les-decheteries-et-ecopoints-23191.kjsp?RH=faq_trisac' target='_blank' >www.nantesmetropole.fr</a>,deuxiemeVie,modco_decheterie,"Ouvert tous les jours de 10h à  18h, dimanche compris (sauf jours fériés)",LA MONTAGNE,modco_decheterie
stco_reemploi50,-1.601493,47.198548,Ecopoint,Dechets,CHANTENAY,"42, bd du Maréchal Juin",44000,CHANTENAY,"Déchets admis : Papiers, cartons, encombrants ménagers divers, Déchets d'équipements Electriques et Electroniques (D.E.E.E.), batteries, verre, huiles de moteur, bouteilles et flacons plastique, bois, ferrailles, déchets verts issus des ménages, Déchets Dangereux des Ménages : produits toxiques, dangereux ou instables (peinture, vernis, colle, diluants...), piles, bouteilles de gaz, les cuves ou jardinières, pneus.",Ouvert du Mardi au Samedi de 10h à  17h30 (sauf jours fériés),02 40 46 61 05,,,<a href='http://www.nantesmetropole.fr/pratique/dechets/les-decheteries-et-ecopoints-23191.kjsp?RH=faq_trisac' target='_blank' >www.nantesmetropole.fr</a>,deuxiemeVie,modco_decheterie,Ouvert du Mardi au Samedi de 10h à  17h30 (sauf jours fériés),CHANTENAY,modco_ecopoint
stco_reemploi51,-1.591301,47.225397,Ecopoint,Dechets,DERVALLIERES,"Quartier Dervallières, Rue J.M. Nattier",44000,DERVALLIERES,"Déchets admis : Papiers, cartons, encombrants ménagers divers, Déchets d'équipements Electriques et Electroniques (D.E.E.E.), batteries, verre, huiles de moteur, bouteilles et flacons plastique, bois, ferrailles, déchets verts issus des ménages, Déchets Dangereux des Ménages : produits toxiques, dangereux ou instables (peinture, vernis, colle, diluants...), piles, bouteilles de gaz, les cuves ou jardinières, pneus.",Ouvert du Mardi au Samedi de 10h à  17h30 (sauf jours fériés),02 40 43 36 69,,,<a href='http://www.nantesmetropole.fr/pratique/dechets/les-decheteries-et-ecopoints-23191.kjsp?RH=faq_trisac' target='_blank' >www.nantesmetropole.fr</a>,deuxiemeVie,modco_decheterie,Ouvert du Mardi au Samedi de 10h à  17h30 (sauf jours fériés),DERVALLIERES,modco_ecopoint
stco_reemploi52,-2.153127,47.241189,Décheterie,Dechets,SAINT-BRÉVIN LES PINS,Chemin des Pinluettes - Z.I de la Guerche,44250,SAINT-BRÉVIN LES PINS,"Déchets admis : végétaux, gravats, tout-venant, bois, cartons, ferrailles, huile minérale, huile végétale (en bidon), verre, journaux revues magazines, Déchets d'Equipement Electriques et Electroniques (D3E). Déchets dangereux acceptés (uniquement pour les particuliers) : lampes fluocompactes/tubes, piles et batteries, cartouches d'encre, radiographies, déchets toxiques divers (peinture, engrais, produits phytosanitaires, solvants, ...), déchets amiantés.","ETE (du 2 mai au 30 septembre) : du lundi au jeudi de 10h à 12h et de 14h à 18h. Vendredi et samedi : de 9h à 12h30 et de 13h30 à 18h. HIVER : (du 1er octobre au 31 avril) : lundi de 14h à 18h, du mardi au vendredi de 10h à 12h et de 14h à 18h, et le samedi de 10h à 12h et de 13h à 18h. Fermé les 1er janvier, 1er mai et 25 décembre.",02 40 27 75 15,,reom@cc-sudestuaire.fr,<a href='http://www.cc-sudestuaire.fr/in-redevance.php' target='_blank' >www.cc-sudestuaire.fr/in-redevance.php</a>,deuxiemeVie,modco_decheterie,"ETE (du 2 mai au 30 septembre) : du lundi au jeudi de 10h à 12h et de 14h à 18h. Vendredi et samedi : de 9h à 12h30 et de 13h30 à 18h. HIVER : (du 1er octobre au 31 avril) : lundi de 14h à 18h, du mardi au vendredi de 10h à 12h et de 14h à 18h, et le samedi de 10h à 12h et de 13h à 18h. Fermé les 1er janvier, 1er mai et 25 décembre.",SAINT-BRÉVIN LES PINS,modco_decheterie
stco_reemploi53,-1.5484173,47.213765,Récupération,Livres_Revue_CD_BD,"NANTES ÉCOLOGIE, L'AIR LIVRE",6 rue Monteil,44000,NANTES,"Récupération de livres, revues, BD et de manuels scolaires","Lundi, mardi, jeudi, vendredi 9h-13h et 14h00-18h00",02 51 82 78 30,,nantes.ecologie@free.fr,<a href='http://nantesecologie.free.fr' target='_blank' >http://nantesecologie.free.fr</a>,deuxiemeVie,smco_reemplivreCD,"0101-3112_lu-ma-je-ve_09h00-13h00,0101-3112_lu-ma-je-ve_14h00-18h00",NANTES,modco_reemploi
stco_reemploi54,-1.5692261,47.2092982,Récupération,Vetement,DING-FRING Brunelière,5 rue Charles Brunelière,44200,NANTES,Boutique du Relais,Du lundi au vendredi de 10h à 19h00. Le samedi de 10h à 18h30,02 40 69 13 89,,,<a href='http://www.lerelais.org/-Nos-boutiques-Ding-Fring-.html' target='_blank' >www.lerelais.org/-Nos-boutiques-Ding-Fring-.html</a>,deuxiemeVie,smco_reempvet,Du lundi au vendredi de 10h à 19h00. Le samedi de 10h à 18h30,NANTES,modco_reemploi
stco_reemploi55,-1.643064,47.222275,Récupération,Vetement,RELAIS ATLANTIQUE,"3 impasse du Bourrelier, CP 1526",44806,SAINT-HERBLAIN CEDEX,"Récupération de vêtements, chaussures, linge. Informations sur l'emplacement des conteneur : www.relais-atlantique.fr",,02 28 03 18 57,02 28 03 14 11,contact@relais-atlantique.fr,<a href='http://www.relais-atlantique.fr' target='_blank' >www.relais-atlantique.fr</a>,deuxiemeVie,"smco_reempvet,smco_reempdivers",,SAINT-HERBLAIN ,modco_reemploi
stco_reemploi56,-1.633449,47.259354,Récupération,Autres,ARCADE,Rue Stévin,44700,ORVAULT,Récupération de matériels divers pour le tiers monde,Le mardi de 10h à 12 h.,02 40 63 74 20,,,<a href='http://www.arcade44-benin.net' target='_blank' >www.arcade44-benin.net</a>,deuxiemeVie,smco_reempdivers,Le mardi de 10h à 12 h.,ORVAULT,modco_reemploi
stco_reemploi57,-1.565745,47.196638,Récupération,Meuble,ECOREV,90 rue de la basse île,44400,REZE,"Réemploi d'objets de la vie courante : collecte en déchèterie puis revente à bas prix (mobilier, vaisselle, jouets, livres, vêtements, articles de loisirs, outillage...)",Dépôt d'objets réutilisables : lundi-samedi de 9h à 12h Boutique solidaire : le samedi de 10h à 18h,02 28 23 64 47,02 28 23 64 47,contact@ecorev-reemploi.com,<a href='http://www.ecorev-reemploi.com' target='_blank' >www.ecorev-reemploi.com</a>,deuxiemeVie,"smco_reempmeuble,smco_reemplivreCD,smco_reempjouet,smco_reempvet,smco_reempdivers",Dépôt d'objets réutilisables : lundi-samedi de 9h à 12h Boutique solidaire : le samedi de 10h à 18h,REZE,modco_reemploi
stco_reemploi58,-2.206235,47.285496,Récupération,Meuble,SECOURS POPULAIRE,14 rue Madame de Sévigné ,44604,SAINT-NAZAIRE,"Pour tous, qui recherchez des meubles, des vêtements, des livres, des jouets, de la vaisselle, une braderie est à votre disposition","Le Samedi de 9h30 à 12h, et en semaine selon les horaires suivants : Meubles : Lundi, Mardi, Mercredi, Jeudi de 14h30 à 17h, Vestiaire : Mardi, un  Mercredi sur deux ( non distribution alimentaire ), Jeudi  :  10h à12h et de 14h30 à 16h30, Jouets : Mardi et Jeudi de 10h à 12h et de 14h30 à 16h30, Bibliothèque : Jeudi de 14h30 à 16h30.  Les dépots de vêtements, livres, jouets, vaisselle, bibelots peuvent se faire tous les jours, de 9h à 12 h et de 14h30 à 16h30. De préférence, venez le lundi et le samedi matin. Dépots de meubles toutes les après-midi, du lundi au jeudi, de 14 h à 17 h. ",02 40 74 48 41,02 40 74 34 64,spf.sn44@orange.fr,<a href='http://www.spf44.org' target='_blank' >www.spf44.org</a>,deuxiemeVie,"smco_reempmeuble,smco_reempvet,smco_reemplivreCD,smco_reempjouet,smco_reempdivers","Le Samedi de 9h30 à 12h, et en semaine selon les horaires suivants : Meubles : Lundi, Mardi, Mercredi, Jeudi de 14h30 à 17h, Vestiaire : Mardi, un  Mercredi sur deux ( non distribution alimentaire ), Jeudi  :  10h à12h et de 14h30 à 16h30, Jouets : Mardi et Jeudi de 10h à 12h et de 14h30 à 16h30, Bibliothèque : Jeudi de 14h30 à 16h30.  Les dépots de vêtements, livres, jouets, vaisselle, bibelots peuvent se faire tous les jours, de 9h à 12 h et de 14h30 à 16h30. De préférence, venez le lundi et le samedi matin. Dépots de meubles toutes les après-midi, du lundi au jeudi, de 14 h à 17 h. ",SAINT-NAZAIRE,modco_reemploi
stco_reemploi59,-1.550624,47.201511,Récupération,Autres,BOUCHON D'AMOUR,Stockage : Chà¢teau d'eau du MIN de Nantes,44200,NANTES,Récupération de bouchons plastiques,,02 40 86 57 29,,,<a href='http://bouchonsdamour44.over-blog.com' target='_blank' >http://bouchonsdamour44.over-blog.com</a>,deuxiemeVie,smco_reempdivers,,NANTES,modco_reemploi
stco_reemploi60,-2.2100179,47.2774497,Récupération,Vetement,DING-FRING Saint-Nazaire,60 rue de Stalingrad,44600,SAINT-NAZAIRE,Boutique du Relais,Du lundi au jeudi : de 10h à 12h30 et de 14h30 à 19h00 ; Le vendredi : 10h00 à 19h00 ; Le samedi : 10h00 à 12h30 et de 14h30 à 18h30,02 40 66 10 07,,,<a href='http://www.lerelais.org/-Nos-boutiques-Ding-Fring-.html' target='_blank' >www.lerelais.org/-Nos-boutiques-Ding-Fring-.html</a>,deuxiemeVie,smco_reempvet,Du lundi au jeudi : de 10h à 12h30 et de 14h30 à 19h00 ; Le vendredi : 10h00 à 19h00 ; Le samedi : 10h00 à 12h30 et de 14h30 à 18h30,SAINT-NAZAIRE,modco_reemploi
stco_reemploi61,-2.2065413,47.2735589,Récupération,Cartouche,PIGMENTA,"Tabac presse La Civette,  1 Rue Henri Gautier",44600,SAINT-NAZAIRE,Rechargez vos cartouches d'encre et toners.,du lundi au vendredi 7h00-19h00 et le samedi 8h00-19h00,02 40 22 39 20,,ecoencre@gmail.com,<a href='http://www.pigmenta.fr' target='_blank' >www.pigmenta.fr</a>,deuxiemeVie,smco_reempcartouchetoner,"0101-3112_lu-ma-me-je-ve_07h00-19h00,0101-3112_sa_08h00-19h00",SAINT-NAZAIRE,modco_reemploi
stco_reemploi62,-1.5801384,47.2097351,Récupération,Electromenager,LA FRATERNITE,5 rue Amiral Duchaffault,44000,NANTES,"Les petits frères des Pauvres accompagnent des personnes ? en priorité de plus de cinquante ans - souffrant d'isolement, de pauvreté, de maladie, d'exclusions.",du lundi au jeudi de 9h à 12h30 et de 13h30 à 18h et le vendredi à 17h,02 40 68 96 96,02 40 68 96 75,Contact sur le site,<a href='http://www.petitsfreres.asso.fr/' target='_blank' >www.petitsfreres.asso.fr</a>,deuxiemeVie,"smco_reempelectromenag,smco_reemplivreCD,smco_reempjouet,smco_reempmeuble,smco_reempvet,smco_reempdivers",du lundi au jeudi de 9h à 12h30 et de 13h30 à 18h et le vendredi à 17h,NANTES,modco_reemploi
stco_reemploi63,-1.560953,47.227348,Récupération,Meuble,SECOURS POPULAIRE,163 Rue Paul Bellamy,44000,NANTES,"Récupération de vêtements, meubles, électroménagers",Tous les jours du lundi au vendredi de 9h à 12h et de 14h à 17h,02 40 74 48 41,02 40 74 34 64,contact@spf44.org,<a href='http://www.spf44.org' target='_blank' >www.spf44.org</a>,deuxiemeVie,"smco_reempmeuble,smco_reempvet,smco_reempelectromenag",Tous les jours du lundi au vendredi de 9h à 12h et de 14h à 17h,NANTES,modco_reemploi
stco_reemploi64,-1.570404,47.260956,Récupération,Autres,A.R.B.R.E.S.,"105, Rue des Renards",44300,NANTES,Récupération de papier (même pour des volumes moyens),Du lundi au jeudi de 9h00 à 12h30 et de 14h00 à 17h00. Le vendredi de 9h00 à 12h30 et de 14h00 à 16h00.,02 40 40 35 55,02 40 40 69 40,arbresnord@wanadoo.fr,<a href='http://www.arbres44.org' target='_blank' >www.arbres44.org</a>,deuxiemeVie,smco_reempdivers,Du lundi au jeudi de 9h00 à 12h30 et de 14h00 à 17h00. Le vendredi de 9h00 à 12h30 et de 14h00 à 16h00.,NANTES,modco_reemploi
stco_reemploi65,-1.556319,47.217781,Récupération,Cartouche,POINT ENCRE ET TONER,13 Rue de l'Hotel de Ville,44000,NANTES,Recharge de cartouche d'imprimante et remanufacturation de toner,Ouvert le lundi de 13h à 19h ; du mardi au vendredi de 9h à 12h45 et de 13h45 à 19h ; le samedi de 14h à 19h.,02 40 35 64 29,02 51 89 03 79,contact.nantes@economax.fr,,deuxiemeVie,smco_reempcartouchetoner,Ouvert le lundi de 13h à 19h ; du mardi au vendredi de 9h à 12h45 et de 13h45 à 19h ; le samedi de 14h à 19h.,NANTES,modco_reemploi
stco_reemploi66,-1.5318757,47.2414082,Récupération,Vetement,DING-FRING Marsauderies,15 rue des Marsauderies ,44000,NANTES,Boutique du Relais : Ding Fring,Du lundi au vendredi de 10h à 19h00 et le samedi de 10h à 12h et de 14h à 18h30,02 40 20 87 11,,,<a href='http://www.lerelais.org/-Nos-boutiques-Ding-Fring-.html' target='_blank' >www.lerelais.org/-Nos-boutiques-Ding-Fring-.html</a>,deuxiemeVie,smco_reempvet,Du lundi au vendredi de 10h à 19h00 et le samedi de 10h à 12h et de 14h à 18h30,NANTES,modco_reemploi
stco_reemploi67,-2.2577916,47.2615601,Récupération,Vetement,La grange aux fringues,48 rue Pitre Grenapin,44600,SAINT-NAZAIRE,"La grange aux fringues est une bourse permanente de vêtements d'occasion ouvert à tous et porté par un chantier d'insertion. Il est possible de vendre ses vêtements en étant adhérent à une Maison de quartier : 15 articles par mois peuvent être déposés. Les articles non vendus et l'argent des ventes sont ensuite récupérés à la fin du mois. La grange aux fringues devient, à certaines périodes de l'année, la grange ambulante et se déplace dans les différents quartiers de Saint-Nazaire.","Ouvert le lundi de 14h15 à 17h45, le mardi et le jeudi de 9h à 12h30 et de 14h15 à 17h45, le mercredi de 9h à 12h et de 14h15 à 17h45, le vendredi de 9h à 12h30 et de 13h30 à 17h30, le samedi de 9h à 12h.",02 40 70 35 00,,,<a href='http://www.fmq-saintnazaire.fr/mqbouletterie/index.php?option=com_content&view=article&id=49&Itemid=59' target='_blank' >www.fmq-saintnazaire.fr/mqbouletterie</a>,deuxiemeVie,smco_reempvet,"Ouvert le lundi de 14h15 à 17h45, le mardi et le jeudi de 9h à 12h30 et de 14h15 à 17h45, le mercredi de 9h à 12h et de 14h15 à 17h45, le vendredi de 9h à 12h30 et de 13h30 à 17h30, le samedi de 9h à 12h.",SAINT-NAZAIRE,modco_reemploi
stco_reemploi68,-1.5324433,47.1819242,Récupération,Electromenager,RECUPFER44,1 résidence du parc,44400,REZE,"Récupération de ferraille, métaux, électroménager, voiture, camion, bateau, engins agricole... Déplacement à domicile dans toute la loire-atlantique.",Du lundi au samedi de 8 heures à 20 heures.,06 38 39 72 78,,,<a href='http://www.recupfer44.com' target='_blank' >www.recupfer44.com</a>,deuxiemeVie,"smco_reempelectromenag,smco_reempdivers",Du lundi au samedi de 8 heures à 20 heures.,REZE,modco_reemploi
stco_reemploi69,-1.523216,47.253922,Décheterie,Dechets,LA BEAUJOIRE,"29, rue de la Gare Saint-Joseph",44000,NANTES,"Déchets admis : Papiers, cartons, encombrants ménagers divers, Déchets d'équipements Electriques et Electroniques (D.E.E.E.), batteries, verre, huiles de moteur, bouteilles et flacons plastique, bois, ferrailles, déchets verts issus des ménages, Déchets Dangereux des Ménages : produits toxiques, dangereux ou instables (peinture, vernis, colle, diluants...), piles, bouteilles de gaz, les cuves ou jardinières, pneus.",Ouvert du Mardi au Samedi de 10h à  17h30 (sauf jours fériés),02 40 49 62 67,,,<a href='http://www.nantesmetropole.fr/pratique/dechets/les-decheteries-et-ecopoints-23191.kjsp?RH=faq_trisac' target='_blank' >www.nantesmetropole.fr</a>,deuxiemeVie,modco_decheterie,Ouvert du Mardi au Samedi de 10h à  17h30 (sauf jours fériés),NANTES,modco_decheterie
stco_reemploi70,-1.661669,47.229244,Récupération,Autres,ORTHOPEDIE SANS FRONTIERE,"109 rue de la gare, zone de collecte : la métairie",44800,SAINT-HERBLAIN,"Récupération de matériels pour chambre d'hôpital, fauteuils roulant, lunettes, appareils auditifs",Le jeudi de 9h à 12h et de 14h à 17h30 ,06 64 24 08 77,,,osfafrique.org,deuxiemeVie,smco_reempdivers,Le jeudi de 9h à 12h et de 14h à 17h30 ,SAINT-HERBLAIN,modco_reemploi
stco_reemploi71,-2.2115574,47.2820733,Récupération,Cartouche,ENCRE ÉCO...LOGIQUE,91 Avenue de la République,44600,SAINT-NAZAIRE,Spécialistes de la recharge de cartouches d'encre pour particuliers et professionnels.,Ouvert le lundi de 14h00 à 18h00 - Du mardi au vendredi : 10h00 - 12h30 et de 14h00 à 18h30 - le samedi : 10h00 - 12h30 et de 14h00 à 18h00.,02 40 22 11 53,,ecoencre@gmail.com,<a href='http://www.encre-eco-logique.com' target='_blank' >www.encre-eco-logique.com</a>,deuxiemeVie,smco_reempcartouchetoner,Ouvert le lundi de 14h00 à 18h00 - Du mardi au vendredi : 10h00 - 12h30 et de 14h00 à 18h30 - le samedi : 10h00 - 12h30 et de 14h00 à 18h00.,SAINT-NAZAIRE,modco_reemploi
stco_reemploi72,-1.548718,47.301243,Récupération,Vetement,PORTE OUVERTE CHAPELAINE,6 bis route de Sucé,44240,LA CHAPELLE SUR ERDRE,"Récupération de vêtements, chaussures, linge, en bon état et non démodé",,02 40 72 97 20,,,,deuxiemeVie,"smco_reempvet,smco_reempdivers",,LA CHAPELLE SUR ERDRE,modco_reemploi
stco_reemploi73,-1.545704,47.190903,Récupération,Autres,OSER FORET VIVANTE,12 rue Jean-Baptiste Vigier,44400,REZE,Récupération d'emballages triés par les particuliers et les entreprises,,02 51 72 71 00,02 40 13 38 86,asso.oser@wanadoo.fr,<a href='http://www.oser-foret-vivante.com' target='_blank' >www.oser-foret-vivante.com</a>,deuxiemeVie,smco_reempdivers,,REZE,modco_reemploi
stco_reemploi74,-1.633058,47.257112,Décheterie,Dechets,ORVAULT,Rond point Lacroix,44470,ORVAULT,"Déchets admis : Déblais et gravats issus du bricolage familial, papiers, cartons, encombrants ménagers divers, Déchets d'équipements Electriques et Electroniques, batteries, verre, huiles de moteur, bouteilles et flacons plastique, bois, ferrailles, déchets verts issus des ménages.","Ouvert tous les jours de 10h à  18h, dimanche compris (sauf jours fériés)",02 51 78 33 93,,,<a href='http://www.nantesmetropole.fr/pratique/dechets/les-decheteries-et-ecopoints-23191.kjsp?RH=faq_trisac' target='_blank' >www.nantesmetropole.fr</a>,deuxiemeVie,modco_decheterie,"Ouvert tous les jours de 10h à  18h, dimanche compris (sauf jours fériés)",ORVAULT,modco_decheterie
stco_reemploi75,-1.634285,47.048713,Récupération,Meuble,RETZ'AGIR,4 Moulin de la Chaussée,44310,ST PHILBERT DE GRAND LIEU,"- Récupération de tous types de meubles en bois, que nous remettons en état. - Ventes des meubles, qui peuvent être peints, lasurés, cirés...selon les goûts de chacun...et à des prix raisonnables. Venez découvrir nos réalisations dans nos ateliers",Du lundi au vendredi de 8h à 12h et de 13h à 17h.,02 40 78 84 00,02 40 02 31 06,retzagir2@orange.fr,<a href='http://www.retzagir.fr' target='_blank' >www.retzagir.fr</a>,deuxiemeVie,smco_reempmeuble,Du lundi au vendredi de 8h à 12h et de 13h à 17h.,ST PHILBERT DE GRAND LIEU,modco_reemploi
